公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
深圳市云间网络科技有限公司,云间网络,15-50人,不需要融资,南山区,Python开发工程师,4.0,大专,15k-20k,"弹性工作,周末双休,五险一金","['3', '5']","['15', '20']",16.25
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,福田区,后台开发（python）工程师,4.0,本科,12k-14k,"上市公司,大型项目,办公环境好,五险一金","['3', '5']","['12', '14']",12.5
深圳市顺永通电子有限公司,顺永通,50-150人,不需要融资,宝安区,python开发工程师,4.0,本科,10k-20k,"ai,跟大牛学习","['3', '5']","['10', '20']",12.5
上海企企网络科技有限公司,上海企企网络科技有限公司,50-150人,天使轮,罗湖区,Python,2.0,本科,10k-20k,福利杠杠的，牛人多，能力突出的薪酬可面议,"['1', '3']","['10', '20']",12.5
万科物业发展股份有限公司,万科物业,2000人以上,不需要融资,福田区,高级Python开发工程师,7.5,本科,20k-35k,"平台好,领导好,氛围好","['5', '10']","['20', '35']",23.75
深圳市橙智科技有限公司,橙智科技,少于15人,不需要融资,龙岗区,Python工程师,4.0,本科,20k-40k,"高绩效薪酬,股权激励,股权激励，","['3', '5']","['20', '40']",25.0
深圳市惠群商业数据技术有限公司,惠群数据,15-50人,天使轮,南山区,Python/go开发运维工程师,4.0,大专,13k-26k,"项目前沿,技术提升快,发展空间大","['3', '5']","['13', '26']",16.25
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,福田区,Python后端开发工程师,2.0,本科,15k-30k,"大牛团队,福利齐全,扁平管理,行业前景好","['1', '3']","['15', '30']",18.75
优维科技（深圳）有限公司,优维科技,50-150人,B轮,南山区,Python开发工程师（驻场）,2.0,本科,13k-15k,"五险一金,带薪年假,年底旅游,腾讯背景","['1', '3']","['13', '15']",13.5
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,福田区,Python 数据分析,4.0,大专,13k-25k,"最先进的技,大项目,交通便利,环境好","['3', '5']","['13', '25']",16.0
深圳市前海源伞科技有限公司,深圳源伞科技,15-50人,天使轮,南山区,Web前端/Python研发工程师,0.0,本科,12k-24k,"玩转开源,架构达人",[],"['12', '24']",15.0
深圳市客路网络科技有限公司,KLOOK 客路旅行,500-2000人,D轮及以上,福田区,Python后端工程师,2.0,本科,13k-25k,"国际化平台,环境舒适,好玩有趣","['1', '3']","['13', '25']",16.0
